Symbol,Security,GICS Sector,Headquarters Location,Market Cap / B,Revenue (TTM) / B,Profit Margin / %,Earnings per Share (TTM) / $,Price to Earning ratio (TTM),Payout ratio / %,Recommendation Score
HAS,Hasbro,Consumer Discretionary,"Pawtucket, Rhode Island",7.09B,5.39B,-10.33%,-4.02,35.61,325.58%,1.9
HCA,HCA Healthcare,Health Care,"Nashville, Tennessee",72.45B,63.16B,9.05%,20.25,13.37,11.65%,1.8
PEAK,Healthpeak,Real Estate,"Long Beach, California",10.83B,2.15B,11.23%,0.44,45.00,272.73%,2.3
HSIC,Henry Schein,Health Care,"Melville, New York",9.84B,12.69B,3.51%,3.38,22.41,0.00%,2.7
HSY,Hershey's,Consumer Staples,"Hershey, Pennsylvania",38.13B,11.16B,17.11%,9.28,20.09,46.34%,2.7
HES,Hess Corporation,Energy,"New York City, New York",44.28B,10.22B,14.34%,4.76,30.29,35.45%,2.6
HPE,Hewlett Packard Enterprise,Information Technology,"Houston, Texas",22.07B,29.13B,6.95%,1.54,11.03,31.17%,2.6
HLT,Hilton Worldwide,Consumer Discretionary,"Tysons Corner, Virginia",46.70B,4.33B,30.52%,4.95,36.79,12.12%,2.3
HOLX,Hologic,Health Care,"Marlborough, Massachusetts",17.15B,4.03B,11.31%,1.83,39.04,0.00%,2.4
HD,Home Depot (The),Consumer Discretionary,"Atlanta, Georgia",344.91B,153.71B,10.22%,15.59,22.21,52.37%,2.3
HON,Honeywell,Industrials,"Charlotte, North Carolina",138.26B,36.41B,14.87%,8.07,25.99,51.05%,2.3
HRL,Hormel Foods,Consumer Staples,"Austin, Minnesota",17.56B,12.11B,6.55%,1.45,22.14,75.86%,3.4
HST,Host Hotels & Resorts,Real Estate,"Bethesda, Maryland",13.73B,5.26B,14.36%,1.05,18.54,54.29%,2.0
HWM,Howmet Aerospace,Industrials,"Pittsburgh, Pennsylvania",22.28B,6.42B,9.97%,1.54,35.14,10.39%,2.0
HPQ,HP Inc.,Information Technology,"Palo Alto, California",29.82B,53.72B,6.07%,3.26,9.23,32.21%,2.5
HUBB,Hubbell Incorporated,Industrials,"Shelton, Connecticut",17.64B,5.25B,13.22%,13.16,24.99,34.04%,2.5
HUM,Humana,Health Care,"Louisville, Kentucky",56.36B,102.35B,2.95%,24.17,18.93,14.24%,1.9
HBAN,Huntington Bancshares,Financials,"Columbus, Ohio; Detroit, Michigan",18.43B,7.22B,32.59%,1.51,8.43,41.06%,2.5
HII,Huntington Ingalls Industries,Industrials,"Newport News, Virginia",10.31B,11.09B,4.78%,13.24,19.60,37.43%,2.6
IBM,IBM,Information Technology,"Armonk, New York",149.34B,61.17B,11.32%,7.75,21.10,85.42%,2.5
IEX,IDEX Corporation,Industrials,"Lake Forest, Illinois",16.42B,3.3B,18.74%,8.12,26.70,30.50%,2.2
IDXX,Idexx Laboratories,Health Care,"Westbrook, Maine",46.10B,3.59B,22.93%,9.82,56.58,0.00%,2.2
ITW,Illinois Tool Works,Industrials,"Glenview, Illinois",78.81B,16.09B,19.55%,10.29,25.43,51.75%,3.1
ILMN,Illumina,Health Care,"San Diego, California",22.12B,4.46B,-25.20%,-7.10,,0.00%,2.4
INCY,Incyte,Health Care,"Wilmington, Delaware",14.07B,3.61B,11.78%,1.88,33.40,0.00%,2.2
IR,Ingersoll Rand,Industrials,"Davidson, North Carolina",31.31B,6.68B,11.47%,1.84,42.03,4.35%,1.9
PODD,Insulet,Health Care,"Acton, Massachusetts",15.15B,1.56B,7.71%,1.71,126.16,0.00%,1.8
INTC,Intel,Information Technology,"Santa Clara, California",211.90B,52.86B,-3.11%,-0.39,,75.26%,2.9
ICE,Intercontinental Exchange,Financials,"Atlanta, Georgia",73.51B,7.55B,32.03%,4.32,29.80,38.05%,1.9
IFF,International Flavors & Fragrances,Materials,"New York City, New York",20.67B,11.62B,0.16%,0.06,1.35k,"5,400.00%",2.6
IP,International Paper,Materials,"Memphis, Tennessee",12.51B,19.45B,1.31%,2.18,16.58,84.86%,2.7
IPG,Interpublic Group of Companies (The),Communication Services,"New York City, New York",12.50B,9.36B,9.96%,2.39,13.66,51.05%,2.4
INTU,Intuit,Information Technology,"Mountain View, California",174.97B,14.75B,17.53%,9.13,68.46,35.49%,1.9
ISRG,Intuitive Surgical,Health Care,"Sunnyvale, California",118.78B,6.85B,22.14%,4.25,79.38,0.00%,1.9
IVZ,Invesco,Financials,"Atlanta, Georgia",8.02B,5.75B,14.50%,1.30,13.72,59.62%,2.7
INVH,Invitation Homes,Real Estate,"Dallas, Texas",20.87B,2.37B,20.67%,0.81,42.11,123.46%,2.3
IQV,IQVIA,Health Care,"Durham, North Carolina",42.23B,14.86B,7.51%,5.97,38.82,0.00%,2.0
IRM,Iron Mountain,Real Estate,"Boston, Massachusetts",20.43B,5.34B,5.21%,0.94,74.45,266.54%,2.2
JBHT,J.B. Hunt,Industrials,"Lowell, Arkansas",20.60B,13.18B,5.89%,7.43,26.88,22.34%,2.0
JBL,Jabil,Information Technology,"St. Petersburg, Florida",16.39B,33.45B,2.36%,5.89,21.67,5.44%,1.7
JKHY,Jack Henry & Associates,Financials,"Monett, Missouri",11.90B,2.12B,17.07%,4.95,33.02,41.41%,2.4
J,Jacobs Solutions,Industrials,"Dallas, Texas",16.40B,16.35B,4.07%,5.31,24.44,14.69%,1.8
JNJ,Johnson & Johnson,Health Care,"New Brunswick, New Jersey",377.32B,98.66B,35.10%,5.33,29.41,87.05%,2.3
JCI,Johnson Controls,Industrials,"Cork, Ireland",39.22B,26.79B,6.90%,2.69,21.43,53.90%,2.1
JPM,JPMorgan Chase,Financials,"New York City, New York",491.76B,142.43B,35.98%,16.75,10.15,24.16%,2.1
JNPR,Juniper Networks,Information Technology,"Sunnyvale, California",9.40B,5.65B,6.49%,1.12,26.32,77.68%,2.6
K,Kellanova,Consumer Staples,"Chicago, Illinois",19.15B,15.87B,5.21%,2.38,23.49,99.58%,2.8
KVUE,Kenvue,Consumer Staples,"Skillman, New Jersey",41.23B,15.54B,11.07%,0.57,37.86,35.17%,2.3
KDP,Keurig Dr Pepper,Consumer Staples,"Burlington, Massachusetts",46.61B,14.75B,13.16%,1.37,24.33,59.49%,2.3
KEY,KeyCorp,Financials,"Cleveland, Ohio",13.48B,6.09B,21.28%,1.23,11.71,66.67%,2.2
KEYS,Keysight,Information Technology,"Santa Rosa, California",27.85B,5.46B,19.34%,5.90,26.92,0.00%,2.0
KMB,Kimberly-Clark,Consumer Staples,"Irving, Texas",41.06B,20.43B,8.63%,5.20,23.37,90.38%,3.1
KIM,Kimco Realty,Real Estate,"New Hyde Park, New York",13.21B,1.77B,26.24%,0.71,30.01,129.58%,2.2
KMI,Kinder Morgan,Energy,"Houston, Texas",39.21B,15.88B,15.54%,1.09,16.18,102.75%,2.6
KLAC,KLA Corporation,Information Technology,"Milpitas, California",79.02B,10.17B,30.51%,22.38,26.00,23.26%,2.2
KHC,Kraft Heinz,Consumer Staples,"Chicago, Illinois; Pittsburgh, Pennsylvania",45.36B,27.16B,11.00%,2.42,15.28,66.12%,2.5
KR,Kroger,Consumer Staples,"Cincinnati, Ohio",32.88B,147.8B,1.27%,2.57,17.79,41.63%,2.4
LHX,L3Harris,Industrials,"Melbourne, Florida",39.92B,18.66B,7.96%,7.77,27.11,58.43%,2.3
LH,LabCorp,Health Care,"Burlington, North Carolina",19.30B,15.07B,4.39%,9.71,23.41,29.66%,2.1
LRCX,Lam Research,Information Technology,"Fremont, California",103.25B,15.84B,25.08%,29.46,26.57,24.34%,2.2
LW,Lamb Weston,Consumer Staples,"Eagle, Idaho",15.67B,5.89B,17.18%,6.95,15.55,15.61%,1.6
LVS,Las Vegas Sands,Consumer Discretionary,"Las Vegas, Nevada",37.07B,8.57B,7.81%,0.87,56.56,22.99%,2.0
LDOS,Leidos,Industrials,"Reston, Virginia",14.88B,15.16B,0.97%,1.06,102.11,135.85%,1.9
LEN,Lennar,Consumer Discretionary,"Miami, Florida",41.87B,34.23B,11.51%,13.73,10.86,10.92%,2.3
LIN,Linde plc,Materials,"Guildford, United Kingdom",199.15B,32.45B,18.44%,12.07,33.97,41.32%,2.0
LYV,Live Nation Entertainment,Communication Services,"Beverly Hills, California",21.56B,21.2B,2.69%,1.50,62.40,0.00%,1.9
LKQ,LKQ Corporation,Consumer Discretionary,"Chicago, Illinois",12.79B,13.37B,7.13%,3.57,13.39,30.81%,1.7
LMT,Lockheed Martin,Industrials,"Bethesda, Maryland",112.45B,67.69B,10.29%,27.33,16.59,43.92%,2.7
L,Loews Corporation,Financials,"New York City, New York",15.54B,15.44B,9.93%,6.57,10.59,3.81%,3.0
LOW,Lowe's,Consumer Discretionary,"Mooresville, North Carolina",127.99B,90.22B,8.50%,13.04,17.07,32.98%,2.3
LULU,Lululemon Athletica,Consumer Discretionary,"Vancouver, Canada",64.54B,9.19B,10.89%,7.88,65.07,0.00%,2.0
LYB,LyondellBasell,Materials,"Rotterdam, Netherlands",30.84B,41.38B,5.51%,6.99,13.60,69.81%,2.7
MTB,M&T Bank,Financials,"Buffalo, New York",22.75B,9.34B,32.37%,17.44,7.86,29.24%,2.0
MRO,Marathon Oil,Energy,"Houston, Texas",14.14B,6.45B,26.06%,2.75,8.79,14.18%,2.2
MPC,Marathon Petroleum,Energy,"Findlay, Ohio",56.33B,152.73B,7.56%,26.51,5.60,11.32%,2.0
MKTX,MarketAxess,Financials,"New York City, New York",11.10B,733.2M,33.78%,6.59,44.45,43.40%,2.7
MAR,Marriott International,Consumer Discretionary,"Bethesda, Maryland",66.23B,6.13B,47.47%,9.43,23.91,19.51%,2.7
MMC,Marsh McLennan,Financials,"New York City, New York",93.42B,22.2B,15.61%,6.93,27.30,37.46%,2.7
MLM,Martin Marietta Materials,Materials,"Raleigh, North Carolina",30.84B,6.22B,17.22%,17.71,28.19,15.37%,2.0
MAS,Masco,Industrials,"Livonia, Michigan",15.04B,8.01B,10.39%,3.67,18.25,30.93%,2.4
MA,Mastercard,Financials,"Harrison, New York",399.97B,24.37B,44.85%,11.47,37.18,19.18%,1.9
MTCH,Match Group,Communication Services,"Dallas, Texas",9.92B,3.28B,15.42%,1.77,20.62,0.00%,2.2
MKC,McCormick & Company,Consumer Staples,"Hunt Valley, Maryland",18.35B,6.61B,9.80%,2.40,28.51,64.17%,2.7
MCD,McDonald's,Consumer Discretionary,"Chicago, Illinois",215.07B,25.01B,33.31%,11.33,26.15,53.62%,1.9
MCK,McKesson,Health Care,"Irving, Texas",61.61B,291.1B,1.20%,25.28,18.31,8.86%,1.9
MDT,Medtronic,Health Care,"Dublin, Ireland",109.54B,31.96B,12.84%,3.08,26.75,88.96%,2.5
MRK,Merck & Co.,Health Care,"Kenilworth, New Jersey",276.26B,59.31B,7.77%,1.80,60.57,162.22%,1.9
META,Meta Platforms,Communication Services,"Menlo Park, California",909.77B,126.96B,23.42%,11.33,31.25,0.00%,1.8
MET,MetLife,Financials,"New York City, New York",48.95B,64.61B,-0.30%,-0.40,,75.20%,2.1
MTD,Mettler Toledo,Health Care,"Columbus, Ohio",26.30B,3.91B,22.24%,39.18,30.94,0.00%,3.0
MGM,MGM Resorts,Consumer Discretionary,"Paradise, Nevada",15.26B,15.33B,7.26%,2.98,14.99,0.08%,2.1
MCHP,Microchip Technology,Information Technology,"Chandler, Arizona",48.79B,8.94B,28.14%,4.56,19.78,32.43%,2.1
MU,Micron Technology,Information Technology,"Boise, Idaho",94.21B,16.18B,-42.47%,-6.28,10.05,31.56%,2.1
MSFT,Microsoft,Information Technology,"Redmond, Washington",2.79T,218.31B,35.31%,10.30,36.44,26.36%,1.7
MAA,Mid-America Apartment Communities,Real Estate,"Memphis, Tennessee",15.69B,2.13B,27.45%,5.00,26.89,109.00%,2.8
MRNA,Moderna,Health Care,"Cambridge, Massachusetts",37.93B,9.12B,-38.00%,-9.23,7.06,0.00%,2.6
MHK,Mohawk Industries,Consumer Discretionary,"Calhoun, Georgia",6.59B,11.17B,-4.88%,-8.58,7.61,0.00%,3.0
MOH,Molina Healthcare,Health Care,"Long Beach, California",21.06B,32.5B,2.86%,16.04,22.51,0.00%,2.7
TAP,Molson Coors Beverage Company,Consumer Staples,"Chicago, Illinois",13.21B,11.54B,2.21%,1.17,52.32,137.61%,2.8
MDLZ,Mondelez International,Consumer Staples,"Chicago, Illinois",98.58B,35.4B,12.97%,3.34,21.69,47.31%,1.8
MPWR,Monolithic Power Systems,Information Technology,"Kirkland, Washington",30.22B,1.83B,24.61%,9.21,68.34,40.63%,2.1
MNST,Monster Beverage,Consumer Staples,"Corona, California",59.95B,6.92B,22.62%,1.48,39.06,0.00%,2.1
MCO,Moody's Corporation,Financials,"New York City, New York",71.48B,5.73B,26.42%,8.20,47.51,36.62%,2.1
MS,Morgan Stanley,Financials,"New York City, New York",153.05B,53.38B,18.37%,5.60,16.65,56.70%,2.4
MOS,Mosaic Company (The),Materials,"Tampa, Florida",11.68B,15.03B,8.80%,3.95,9.05,18.99%,2.7
MSI,Motorola Solutions,Information Technology,"Chicago, Illinois",51.96B,9.84B,17.30%,9.89,31.66,35.59%,1.8
MSCI,MSCI,Financials,"New York City, New York",44.74B,2.42B,39.76%,11.99,47.18,44.95%,2.4
NDAQ,"Nasdaq, Inc.",Financials,"New York City, New York",33.54B,6B,18.39%,2.23,26.07,37.67%,2.6
NTAP,NetApp,Information Technology,"San Jose, California",18.16B,6.1B,11.34%,3.24,27.21,61.73%,2.7
NFLX,Netflix,Communication Services,"Los Gatos, California",213.10B,32.74B,13.82%,10.03,48.59,0.00%,2.2
NEM,Newmont,Materials,"Denver, Colorado",47.70B,11.05B,-7.35%,-1.06,44.33,180.33%,2.6
NWSA,News Corp (Class A),Communication Services,"New York City, New York",14.21B,9.9B,1.40%,0.24,102.33,83.33%,2.1
NWS,News Corp (Class B),Communication Services,"New York City, New York",14.21B,9.9B,1.40%,0.24,107.17,83.33%,
NEE,NextEra Energy,Utilities,"Juno Beach, Florida",124.62B,27.4B,27.82%,3.79,16.03,48.22%,2.0
NKE,"Nike, Inc.",Consumer Discretionary,"Washington County, Oregon",165.23B,51.54B,10.28%,3.43,31.65,40.52%,2.2
NI,NiSource,Utilities,"Merrillville, Indiana",10.98B,5.79B,12.46%,1.50,17.70,65.67%,1.7
NDSN,Nordson Corporation,Industrials,"Westlake, Ohio",15.06B,2.63B,18.55%,8.45,31.22,31.09%,2.3
NSC,Norfolk Southern Railway,Industrials,"Atlanta, Georgia",53.45B,12.32B,16.96%,9.12,25.89,57.94%,2.4
NTRS,Northern Trust,Financials,"Chicago, Illinois",17.47B,6.73B,17.09%,5.27,16.01,56.93%,2.8
NOC,Northrop Grumman,Industrials,"West Falls Church, Virginia",70.59B,38.68B,12.07%,30.43,15.39,23.68%,2.6
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Miami, Florida",8.53B,8.08B,-2.60%,-0.53,3.81,0.00%,2.3
NRG,NRG Energy,Utilities,"Houston, Texas",11.67B,29.87B,-5.96%,-7.70,,27.08%,2.4
NUE,Nucor,Materials,"Charlotte, North Carolina",42.79B,35.73B,13.98%,19.77,8.80,10.32%,2.6
NVDA,Nvidia,Information Technology,"Santa Clara, California",1.22T,44.87B,42.10%,7.58,65.34,2.11%,1.7
NVR,"NVR, Inc.",Consumer Discretionary,"Reston, Virginia",22.25B,9.94B,16.46%,475.33,14.73,0.00%,2.6
NXPI,NXP Semiconductors,Information Technology,"Eindhoven, Netherlands",59.22B,13.17B,21.43%,10.77,21.31,36.06%,2.4
ORLY,O'Reilly Auto Parts,Consumer Discretionary,"Springfield, Missouri",56.22B,15.62B,14.86%,37.53,25.30,0.00%,2.1
OXY,Occidental Petroleum,Energy,"Houston, Texas",52.40B,29.3B,18.51%,4.59,13.01,14.60%,2.5
ODFL,Old Dominion,Industrials,"Thomasville, North Carolina",44.23B,5.86B,21.16%,11.23,36.06,13.35%,2.6
OMC,Omnicom Group,Communication Services,"New York City, New York",17.12B,14.5B,9.62%,6.87,12.59,40.76%,2.6
ON,ON Semiconductor,Information Technology,"Phoenix, Arizona",35.99B,8.34B,26.69%,4.96,16.85,0.00%,2.3
OKE,ONEOK,Energy,"Tulsa, Oklahoma",40.91B,17.47B,14.06%,5.44,12.91,69.85%,2.4
ORCL,Oracle Corporation,Information Technology,"Austin, Texas",289.82B,51.63B,19.64%,3.62,29.12,41.99%,2.3
OTIS,Otis Worldwide,Industrials,"Farmington, Connecticut",36.62B,14.03B,9.84%,3.31,27.03,38.07%,2.5
PCAR,Paccar,Industrials,"Bellevue, Washington",51.08B,34.18B,12.01%,7.83,12.47,12.98%,2.8
PKG,Packaging Corporation of America,Materials,"Lake Forest, Illinois",14.60B,7.84B,10.04%,8.72,18.70,57.41%,2.6
PANW,Palo Alto Networks,Information Technology,"Santa Clara, California",92.99B,7.21B,8.52%,1.77,165.69,0.00%,1.9
PARA,Paramount Global,Communication Services,"New York City, New York",9.83B,30.14B,-3.65%,-2.33,,93.20%,3.2
PH,Parker Hannifin,Industrials,"Cleveland, Ohio",59.19B,19.68B,11.92%,18.06,25.52,31.14%,2.1
PAYX,Paychex,Industrials,"Penfield, New York",42.86B,5.15B,31.62%,4.50,26.47,76.89%,3.1
PAYC,Paycom,Industrials,"Oklahoma City, Oklahoma",11.93B,1.63B,20.80%,5.85,35.40,12.84%,2.6
PYPL,PayPal,Financials,"San Jose, California",66.21B,29.13B,12.93%,3.35,18.33,0.00%,2.2
PNR,Pentair,Industrials,"Worsley, United Kingdom",12.02B,4.12B,12.36%,3.09,23.53,28.16%,2.3
PEP,PepsiCo,Consumer Staples,"Purchase, New York",233.53B,91.62B,9.05%,6.00,28.31,80.50%,2.3
PFE,Pfizer,Health Care,"New York City, New York",162.56B,68.54B,15.29%,1.83,15.73,89.07%,2.4
PCG,PG&E Corporation,Utilities,"San Francisco, California",45.86B,22.76B,8.07%,0.86,20.97,0.00%,2.1
PM,Philip Morris International,Consumer Staples,"New York City, New York",146.05B,34.28B,23.38%,5.15,18.27,99.22%,1.9
PSX,Phillips 66,Energy,"Houston, Texas",58.58B,149.41B,5.11%,16.55,8.04,24.89%,2.2
PNW,Pinnacle West,Utilities,"Phoenix, Arizona",8.15B,4.71B,10.13%,4.19,17.15,82.58%,2.6
PXD,Pioneer Natural Resources,Energy,"Irving, Texas",52.47B,19.47B,26.22%,20.98,10.72,78.50%,2.9
PNC,PNC Financial Services,Financials,"Pittsburgh, Pennsylvania",61.68B,20.97B,29.76%,14.40,10.75,42.01%,2.4
POOL,Pool Corporation,Consumer Discretionary,"Covington, Louisiana",15.42B,5.63B,9.65%,13.88,28.73,30.26%,2.4
PPG,PPG Industries,Materials,"Pittsburgh, Pennsylvania",35.26B,18.08B,7.84%,5.97,25.05,42.04%,2.2
PPL,PPL Corporation,Utilities,"Allentown, Pennsylvania",19.98B,8.57B,9.53%,1.04,26.06,90.87%,2.1
PFG,Principal Financial Group,Financials,"Des Moines, Iowa",18.76B,14.08B,10.89%,6.38,12.33,40.28%,3.4
PG,Procter & Gamble,Consumer Staples,"Cincinnati, Ohio",345.38B,83.27B,18.30%,6.15,23.79,60.19%,2.2
PGR,Progressive Corporation,Financials,"Mayfield Village, Ohio",93.23B,58.66B,4.67%,4.60,34.63,8.70%,2.4
PLD,Prologis,Real Estate,"San Francisco, California",123.17B,8.17B,36.90%,3.15,42.45,108.28%,1.8
PRU,Prudential Financial,Financials,"Newark, New Jersey",37.44B,51.53B,2.58%,3.54,29.30,139.83%,2.9
PEG,Public Service Enterprise Group,Utilities,"Newark, New Jersey",30.47B,11.77B,23.83%,5.61,10.90,40.11%,2.4
PTC,PTC,Information Technology,"Boston, Massachusetts",20.86B,2.1B,11.71%,2.06,84.94,0.00%,1.9
PSA,Public Storage,Real Estate,"Glendale, California",53.63B,4.48B,47.39%,10.92,27.96,100.82%,2.1
PHM,PulteGroup,Consumer Discretionary,"Atlanta, Georgia",22.25B,17.07B,16.25%,12.24,8.43,5.23%,1.9
QRVO,Qorvo,Information Technology,"Greensboro, North Carolina",10.96B,3.13B,-3.21%,-0.92,,0.00%,2.7
PWR,Quanta Services,Industrials,"Houston, Texas",31.35B,19.51B,3.57%,4.68,46.01,6.82%,1.7
QCOM,Qualcomm,Information Technology,"San Diego, California",160.97B,35.82B,20.19%,6.52,22.18,47.55%,2.2
DGX,Quest Diagnostics,Health Care,"Secaucus, New Jersey",15.50B,9.3B,8.21%,6.71,20.55,41.58%,2.5
RL,Ralph Lauren Corporation,Consumer Discretionary,"New York City, New York",9.32B,6.5B,8.12%,7.83,18.42,38.31%,2.3
RJF,Raymond James,Financials,"St. Petersburg, Florida",23.26B,11.51B,15.11%,7.97,13.99,21.08%,2.2
RTX,RTX Corporation,Industrials,"Waltham, Massachusetts",120.99B,67.09B,4.76%,2.17,38.77,105.07%,2.8
O,Realty Income,Real Estate,"San Diego, California",41.57B,3.89B,22.64%,1.32,43.50,229.92%,2.3
REG,Regency Centers,Real Estate,"Jacksonville, Florida",12.37B,1.31B,28.18%,2.12,31.61,122.64%,1.9
REGN,Regeneron,Health Care,"Tarrytown, New York",95.63B,13.1B,30.47%,35.02,25.04,0.00%,2.0
RF,Regions Financial Corporation,Financials,"Birmingham, Alabama",18.02B,7.26B,32.64%,2.41,8.04,34.85%,2.5
RSG,Republic Services,Industrials,"Phoenix, Arizona",51.89B,14.66B,11.17%,5.16,31.96,39.15%,2.1
RMD,ResMed,Health Care,"San Diego, California",25.30B,4.38B,20.72%,6.16,27.97,29.27%,2.2
RVTY,Revvity (Previously PerkinElmer),Health Care,"Waltham, Massachusetts",13.49B,2.8B,26.55%,1.71,64.30,16.47%,2.2
RHI,Robert Half,Industrials,"Menlo Park, California",9.31B,6.65B,7.09%,4.42,19.89,42.31%,3.3
ROK,Rockwell Automation,Industrials,"Milwaukee, Wisconsin",35.58B,9.06B,15.32%,11.95,25.98,39.50%,2.6
ROL,"Rollins, Inc.",Industrials,"Atlanta, Georgia",21.14B,2.98B,13.77%,0.83,52.61,62.65%,2.0
ROP,Roper Technologies,Information Technology,"Sarasota, Florida",58.24B,6B,48.77%,11.56,47.20,23.64%,2.0
ROST,Ross Stores,Consumer Discretionary,"Dublin, California",46.59B,19.57B,8.75%,5.04,27.46,26.09%,2.0
RCL,Royal Caribbean Group,Consumer Discretionary,"Miami, Florida",33.18B,13.17B,6.98%,3.28,39.48,0.00%,1.9
SPGI,S&P Global,Financials,"New York City, New York",139.56B,12.28B,20.19%,7.71,57.28,46.16%,1.7
CRM,Salesforce,Information Technology,"San Francisco, California",254.72B,33.95B,7.63%,2.63,100.05,0.00%,2.1
SBAC,SBA Communications,Real Estate,"Boca Raton, Florida",27.38B,2.72B,18.20%,4.54,55.77,71.65%,2.2
SLB,Schlumberger,Energy,"Houston, Texas",74.34B,32.02B,12.97%,2.88,18.07,32.12%,1.8
STX,Seagate Technology,Information Technology,"Dublin, Ireland",17.86B,6.8B,-10.91%,-3.58,,98.59%,2.6
SRE,Sempra Energy,Utilities,"San Diego, California",47.03B,16.68B,16.63%,4.32,17.30,54.57%,2.1
NOW,ServiceNow,Information Technology,"Santa Clara, California",144.87B,8.47B,18.72%,7.77,91.28,0.00%,1.7
SHW,Sherwin-Williams,Materials,"Cleveland, Ohio",79.84B,23.03B,10.50%,9.33,33.39,25.86%,2.3
SPG,Simon Property Group,Real Estate,"Indianapolis, Indiana",46.54B,5.53B,39.94%,6.75,21.16,109.05%,2.4
SWKS,Skyworks Solutions,Information Technology,"Irvine, California",17.98B,4.77B,20.59%,6.13,18.34,41.44%,2.6
SJM,J.M. Smucker Company (The),Consumer Staples,"Orrville, Ohio",13.41B,8.19B,-0.17%,0.01,,"41,200.00%",2.9
SNA,Snap-on,Industrials,"Kenosha, Wisconsin",15.24B,5.06B,19.66%,18.40,15.69,35.20%,
SO,Southern Company,Utilities,"Atlanta, Georgia",76.47B,26.25B,11.56%,2.74,25.59,100.73%,2.3
LUV,Southwest Airlines,Industrials,"Dallas, Texas",17.22B,25.44B,1.95%,0.81,35.65,88.89%,3.0
SWK,Stanley Black & Decker,Industrials,"New Britain, Connecticut",15.04B,16.03B,-0.32%,-0.75,,300.00%,3.1
SBUX,Starbucks,Consumer Discretionary,"Seattle, Washington",109.15B,35.98B,11.47%,3.58,26.82,59.22%,2.4
STT,State Street Corporation,Financials,"Boston, Massachusetts",23.90B,12.02B,20.52%,6.88,11.26,37.50%,2.6
STLD,Steel Dynamics,Materials,"Fort Wayne, Indiana",19.11B,19.39B,13.73%,15.69,7.53,10.29%,3.0
STE,Steris,Health Care,"Dublin, Ireland",21.72B,5.23B,10.52%,5.52,39.83,34.96%,2.0
SYK,Stryker Corporation,Health Care,"Kalamazoo, Michigan",113.78B,19.89B,13.00%,6.74,44.43,44.51%,2.1
SYF,Synchrony Financial,Financials,"Stamford, Connecticut",15.80B,7.7B,30.85%,5.43,7.03,17.31%,2.6
SNPS,Synopsys,Information Technology,"Sunnyvale, California",78.22B,5.84B,21.05%,7.93,64.98,0.00%,1.6
SYY,Sysco,Consumer Staples,"Houston, Texas",36.88B,76.82B,2.35%,3.55,20.60,55.77%,2.3
TMUS,T-Mobile US,Communication Services,"Bellevue, Washington",185.45B,78.35B,9.93%,6.45,24.90,0.00%,1.9
TROW,T. Rowe Price,Financials,"Baltimore, Maryland",24.07B,6.34B,25.50%,7.02,15.34,69.23%,3.4
TTWO,Take-Two Interactive,Communication Services,"New York City, New York",27.38B,5.44B,-27.83%,-9.06,,0.00%,2.0
TPR,"Tapestry, Inc.",Consumer Discretionary,"New York City, New York",8.44B,6.67B,14.03%,3.93,9.37,31.81%,2.0
TRGP,Targa Resources,Energy,"Houston, Texas",19.37B,16.38B,8.33%,3.81,22.80,44.62%,1.6
TGT,Target Corporation,Consumer Staples,"Minneapolis, Minnesota",65.75B,106.89B,3.40%,7.85,18.14,55.29%,2.4
TEL,TE Connectivity,Information Technology,"Schaffhausen, Switzerland",43.66B,16.03B,11.91%,6.01,23.38,38.27%,2.3
TDY,Teledyne Technologies,Information Technology,"Thousand Oaks, California",21.06B,5.63B,14.02%,16.47,27.06,0.00%,2.0
TFX,Teleflex,Health Care,"Wayne, Pennsylvania",11.72B,2.96B,13.65%,8.55,29.16,15.91%,2.5
TER,Teradyne,Information Technology,"North Reading, Massachusetts",16.59B,2.74B,18.41%,2.15,50.48,20.47%,2.4
TSLA,"Tesla, Inc.",Consumer Discretionary,"Austin, Texas",789.93B,95.92B,11.21%,3.11,80.16,0.00%,2.8
TXN,Texas Instruments,Information Technology,"Dallas, Texas",154.79B,18.11B,39.21%,7.72,22.08,64.25%,2.8
TXT,Textron,Industrials,"Providence, Rhode Island",15.76B,13.43B,7.07%,4.63,17.37,1.73%,2.3
TMO,Thermo Fisher Scientific,Health Care,"Waltham, Massachusetts",205.08B,43.42B,13.68%,15.23,34.78,8.85%,1.9
TJX,TJX Companies,Consumer Discretionary,"Framingham, Massachusetts",106.91B,52.33B,7.85%,3.54,26.50,35.45%,1.8
TSCO,Tractor Supply,Consumer Discretionary,"Brentwood, Tennessee",23.25B,14.9B,7.58%,10.26,20.98,39.12%,2.2
TT,Trane Technologies,Industrials,"Dublin, Ireland",55.50B,17.33B,11.30%,8.56,28.46,34.07%,2.6
TDG,TransDigm Group,Industrials,"Cleveland, Ohio",55.96B,6.58B,19.71%,22.05,45.92,0.00%,2.0
TRV,Travelers Companies (The),Financials,"New York City, New York",43.51B,40.07B,5.45%,9.26,20.57,41.68%,2.6
TRMB,Trimble Inc.,Information Technology,"Westminster, Colorado",13.24B,3.72B,8.97%,1.35,39.41,0.00%,2.0
TFC,Truist,Financials,"Charlotte, North Carolina",49.24B,21.9B,25.94%,3.98,9.28,52.26%,2.5
