Symbol,Security,GICS Sector,Headquarters Location,Market Cap / B,Revenue (TTM) / B,Profit Margin / %,Earnings per Share (TTM) / $,Price to Earning ratio (TTM),Payout ratio / %,Recommendation Score
AZO,AutoZone,Consumer Discretionary,"Memphis, Tennessee",44.71B,17.66B,14.62%,137.55,18.81,0.00%,1.9
AVB,AvalonBay Communities,Real Estate,"Arlington, Virginia",26.59B,2.71B,34.21%,6.57,28.45,99.39%,2.4
AVY,Avery Dennison,Materials,"Mentor, Ohio",16.28B,8.28B,5.83%,5.94,34.03,52.53%,1.7
AXON,Axon Enterprise,Industrials,"Scottsdale, Arizona",19.36B,1.47B,9.96%,1.96,131.81,0.00%,1.9
BKR,Baker Hughes,Energy,"Houston, Texas",34.39B,24.58B,6.86%,1.67,20.47,46.11%,1.9
BALL,Ball Corporation,Materials,"Broomfield, Colorado",18.14B,14.17B,4.29%,1.92,29.96,41.67%,2.5
BAC,Bank of America,Financials,"Charlotte, North Carolina",266.46B,96.77B,31.52%,3.57,9.43,25.21%,2.4
BK,Bank of New York Mellon,Financials,"New York City, New York",40.03B,17.05B,21.25%,4.27,12.19,35.83%,2.1
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"Columbus, Ohio",9.75B,7.41B,9.90%,3.14,13.75,25.48%,2.4
BAX,Baxter International,Health Care,"Deerfield, Illinois",19.61B,15.28B,16.96%,0.46,84.04,252.17%,2.6
BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey",70.60B,19.37B,7.66%,5.10,47.81,71.37%,1.9
BRK.B,Berkshire Hathaway,Financials,"Omaha, Nebraska",776.89B,349.25B,21.95%,35.10,10.16,0.00%,2.5
BBY,Best Buy,Consumer Discretionary,"Richfield, Minnesota",16.86B,43.54B,2.93%,5.79,13.52,62.87%,2.8
BIO,Bio-Rad,Health Care,"Hercules, California",9.40B,2.72B,-5.86%,-6.01,,0.00%,2.0
TECH,Bio-Techne,Health Care,"Minneapolis, Minnesota",12.21B,1.14B,21.57%,1.52,50.78,21.05%,1.6
BIIB,Biogen,Health Care,"Cambridge, Massachusetts",37.50B,9.99B,14.63%,10.07,25.72,0.00%,2.0
BLK,BlackRock,Financials,"New York City, New York",120.77B,17.56B,30.66%,23.30,34.84,85.32%,1.9
BX,Blackstone,Financials,"New York City, New York",98.17B,8.24B,21.80%,2.40,54.78,143.10%,2.2
BA,Boeing,Industrials,"Arlington, Virginia",157.69B,75.76B,-3.74%,-4.69,,0.00%,1.8
BKNG,Booking Holdings,Consumer Discretionary,"Norwalk, Connecticut",123.73B,20.63B,25.70%,141.50,25.09,0.00%,2.2
BWA,BorgWarner,Consumer Discretionary,"Auburn Hills, Michigan",8.43B,17.16B,4.23%,4.10,8.74,15.12%,2.2
BXP,Boston Properties,Real Estate,"Boston, Massachusetts",11.01B,2.96B,6.48%,1.23,57.05,318.70%,2.7
BSX,Boston Scientific,Health Care,"Marlborough, Massachusetts",84.69B,13.76B,8.93%,0.82,70.50,0.00%,1.7
BMY,Bristol Myers Squibb,Health Care,"New York City, New York",104.40B,44.94B,18.44%,3.94,13.02,57.87%,2.6
AVGO,Broadcom Inc.,Information Technology,"Palo Alto, California",522.56B,35.82B,39.31%,32.93,33.85,55.79%,2.0
BR,Broadridge Financial Solutions,Industrials,"Lake Success, New York",24.21B,6.21B,10.81%,5.64,36.48,52.75%,2.5
BRO,Brown & Brown,Financials,"Daytona Beach, Florida",20.24B,4.09B,18.25%,2.63,27.04,17.49%,2.6
BF.B,Brown–Forman,Consumer Staples,"Louisville, Kentucky",27.58B,4.27B,18.26%,1.62,35.25,50.74%,3.0
BLDR,Builders FirstSource,Industrials,"Irving, Texas",20.59B,17.3B,9.10%,11.94,13.98,0.00%,2.0
BG,Bunge Global SA,Consumer Staples,"Chesterfield, Missouri",14.67B,61.26B,3.20%,12.92,7.81,19.64%,1.9
CDNS,Cadence Design Systems,Information Technology,"San Jose, California",74.10B,3.92B,24.42%,3.51,77.62,0.00%,1.7
CZR,Caesars Entertainment,Consumer Discretionary,"Reno, Nevada",10.11B,11.52B,6.16%,3.28,14.30,0.00%,2.2
CPT,Camden Property Trust,Real Estate,"Houston, Texas",10.60B,1.53B,14.77%,2.04,48.67,193.14%,2.5
CPB,Campbell Soup Company,Consumer Staples,"Camden, New Jersey",12.89B,9.3B,8.55%,2.64,16.38,56.06%,3.1
COF,Capital One,Financials,"Tysons Corner, Virginia",49.94B,26.34B,20.55%,13.35,9.82,17.98%,2.6
CAH,Cardinal Health,Health Care,"Dublin, Ohio",24.84B,210.17B,0.07%,0.61,165.25,326.66%,2.7
KMX,CarMax,Consumer Discretionary,"Richmond, Virginia",12.13B,28.25B,1.76%,3.13,24.52,0.00%,2.4
CCL,Carnival,Consumer Discretionary,"Miami, Florida",24.22B,21.59B,-0.34%,-0.06,5.99,0.00%,2.1
CARR,Carrier Global,Industrials,"Palm Beach Gardens, Florida",48.20B,22.1B,5.43%,1.41,40.74,50.00%,2.5
CTLT,Catalent,Health Care,"Somerset, New Jersey",8.12B,4.22B,-24.03%,-5.61,,0.00%,2.5
CAT,Caterpillar Inc.,Industrials,"Irving, Texas",150.52B,66.59B,13.69%,17.65,16.76,27.78%,2.6
CBOE,Cboe Global Markets,Financials,"Chicago, Illinois",18.85B,3.81B,18.61%,6.64,26.89,30.87%,2.5
CBRE,CBRE Group,Real Estate,"Dallas, Texas",28.37B,31.19B,1.89%,1.90,48.99,0.00%,2.0
CDW,CDW,Information Technology,"Lincolnshire, Illinois",30.47B,21.8B,5.03%,8.01,28.39,29.46%,2.1
CE,Celanese,Materials,"Irving, Texas",16.91B,10.72B,18.93%,18.58,8.36,15.06%,2.6
COR,Cencora,Health Care,"Conshohocken, Pennsylvania",40.96B,262.17B,0.67%,8.52,24.08,22.74%,2.1
CNC,Centene Corporation,Health Care,"St. Louis, Missouri",39.64B,139.36B,1.75%,4.51,16.45,0.00%,2.2
CNP,CenterPoint Energy,Utilities,"Houston, Texas",18.03B,9.22B,9.31%,1.26,22.67,59.52%,2.2
CDAY,Ceridian,Industrials,"Minneapolis, Minnesota",10.48B,1.45B,0.28%,0.03,2.24k,0.00%,2.3
CF,CF Industries,Materials,"Deerfield, Illinois",15.19B,7.67B,27.53%,10.76,7.39,14.87%,2.6
CHRW,CH Robinson,Industrials,"Eden Prairie, Minnesota",10.08B,18.44B,2.12%,3.36,25.71,72.62%,3.2
CRL,Charles River Laboratories,Health Care,"Wilmington, Massachusetts",12.13B,4.22B,11.27%,9.22,25.61,0.00%,1.9
SCHW,Charles Schwab Corporation,Financials,"Westlake, Texas",125.39B,19.92B,30.07%,3.00,22.93,32.33%,2.0
CHTR,Charter Communications,Communication Services,"Stamford, Connecticut",57.50B,54.57B,8.60%,30.63,12.69,0.00%,2.6
CVX,Chevron Corporation,Energy,"San Ramon, California",281.58B,202.7B,12.56%,13.47,11.07,44.17%,2.0
CMG,Chipotle Mexican Grill,Consumer Discretionary,"Newport Beach, California",62.76B,9.54B,12.27%,42.08,54.26,0.00%,1.8
CB,Chubb Limited,Financials,"Zurich, Switzerland",92.21B,48.26B,14.73%,17.09,13.23,19.79%,2.2
CHD,Church & Dwight,Consumer Staples,"Ewing, New Jersey",23.30B,5.78B,7.57%,1.76,53.73,61.36%,2.8
CI,Cigna,Health Care,"Bloomfield, Connecticut",87.63B,189.86B,2.79%,17.73,16.89,27.13%,2.2
CINF,Cincinnati Financial,Financials,"Fairfield, Ohio",16.23B,9.77B,17.14%,10.53,9.83,27.92%,2.5
CTAS,Cintas,Industrials,"Mason, Ohio",61.08B,9.19B,15.57%,13.80,43.67,36.23%,2.3
CSCO,Cisco,Information Technology,"San Jose, California",205.33B,58.03B,23.40%,3.31,15.27,46.83%,2.6
C,Citigroup,Financials,"New York City, New York",98.45B,72.55B,18.72%,6.30,8.17,32.70%,2.5
CFG,Citizens Financial Group,Financials,"Providence, Rhode Island",15.45B,7.76B,26.71%,4.04,8.20,41.58%,2.3
CLX,Clorox,Consumer Staples,"Oakland, California",17.69B,7.03B,1.22%,0.68,206.65,686.96%,3.1
CME,CME Group,Financials,"Chicago, Illinois",75.83B,5.34B,57.13%,8.38,25.13,105.01%,2.3
CMS,CMS Energy,Utilities,"Jackson, Michigan",16.94B,7.79B,9.61%,2.54,22.86,75.69%,2.3
KO,Coca-Cola Company (The),Consumer Staples,"Atlanta, Georgia",254.78B,45.03B,23.92%,2.47,23.86,73.68%,2.0
CTSH,Cognizant,Information Technology,"Teaneck, New Jersey",37.88B,19.43B,10.75%,4.10,18.42,27.80%,2.9
CL,Colgate-Palmolive,Consumer Staples,"New York City, New York",65.63B,19.14B,8.29%,1.91,41.73,99.48%,2.3
CMCSA,Comcast,Communication Services,"Philadelphia, Pennsylvania",176.50B,120.87B,12.53%,3.59,12.21,31.75%,2.2
CMA,Comerica,Financials,"Dallas, Texas",7.36B,3.72B,32.20%,8.83,6.32,31.82%,2.4
CAG,Conagra Brands,Consumer Staples,"Chicago, Illinois",13.70B,12.28B,8.80%,2.25,12.74,59.56%,2.8
COP,ConocoPhillips,Energy,"Houston, Texas",137.82B,61.84B,18.11%,9.18,12.64,49.46%,1.9
